;Наименование вида расходов;Направление расходов;Отнесено;Дата проведения
49;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,111;39050.43;19.11.2020
50;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,111;41831.3;21.12.2020
52;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Находка, Находкинский пр-т, 13;52505.24;21.01.2020
53;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Находка, Находкинский пр-т, 13;47656.73;20.02.2020
54;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Находка, Находкинский пр-т, 13;41769.25;19.03.2020
55;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Находка, Находкинский пр-т, 13;46085.36;17.04.2020
56;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Находка, Находкинский пр-т, 13;56800.02;19.05.2020
57;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Находка, Находкинский пр-т, 13;40882.37;19.06.2020
58;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Находка, Находкинский пр-т, 13;54405.25;20.07.2020
59;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Находка, Находкинский пр-т, 13;56657.35;20.08.2020
60;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Находка, Находкинский пр-т, 13;61344.82;21.09.2020
61;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Находка, Находкинский пр-т, 13;54378.31;20.10.2020
62;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Находка, Находкинский пр-т, 13;47741.89;23.11.2020
63;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Находка, Находкинский пр-т, 13;54587.36;18.12.2020
65;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Склад ул.Фонтанная,19;1798.09;21.01.2020
66;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Склад ул.Фонтанная,19;1377.24;19.02.2020
67;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Склад ул.Фонтанная,19;1821.17;18.03.2020
68;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Склад ул.Фонтанная,19;1451.45;22.04.2020
69;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Склад ул.Фонтанная,19;923.12;20.05.2020
70;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Склад ул.Фонтанная,19;818.05;17.06.2020
71;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Склад ул.Фонтанная,19;2335.88;21.07.2020
72;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Склад ул.Фонтанная,19;2645.53;18.08.2020
73;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Склад ул.Фонтанная,19;1776.85;18.09.2020
74;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Склад ул.Фонтанная,19;2180.72;21.10.2020
75;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Склад ул.Фонтанная,19;1481.71;19.11.2020
76;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Склад ул.Фонтанная,19;-750.38;07.12.2020
77;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Склад ул.Фонтанная,19;3803.77;21.12.2020
79;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Убежище ул.Семеновская,29а;283.46;21.01.2020
80;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Убежище ул.Семеновская,29а;272.48;19.02.2020
81;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Убежище ул.Семеновская,29а;1058.88;18.03.2020
82;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Убежище ул.Семеновская,29а;329.17;22.04.2020
83;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Убежище ул.Семеновская,29а;289.52;20.05.2020
84;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Убежище ул.Семеновская,29а;264.31;17.06.2020
85;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Убежище ул.Семеновская,29а;306.1;21.07.2020
86;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Убежище ул.Семеновская,29а;324.11;18.08.2020
87;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Убежище ул.Семеновская,29а;354.27;18.09.2020
88;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Убежище ул.Семеновская,29а;318.43;21.10.2020
89;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Убежище ул.Семеновская,29а;336.63;19.11.2020
90;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. Убежище ул.Семеновская,29а;259.94;21.12.2020
92;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. ул.Калинина,261;5904.26;21.01.2020
93;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. ул.Калинина,261;37255.74;19.02.2020
94;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. ул.Калинина,261;-176.54;03.03.2020
95;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. ул.Калинина,261;21767.99;18.03.2020
96;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. ул.Калинина,261;25069.75;22.04.2020
97;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. ул.Калинина,261;20635.61;20.05.2020
98;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. ул.Калинина,261;26937.72;17.06.2020
99;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. ул.Калинина,261;26411.37;21.07.2020
100;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. ул.Калинина,261;24757.22;18.08.2020
101;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. ул.Калинина,261;32021.12;18.09.2020
102;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. ул.Калинина,261;32535.13;21.10.2020
103;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. ул.Калинина,261;36002.28;19.11.2020
104;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам  зд. ул.Калинина,261;18094.34;21.12.2020
106;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Мордовцева,6;16606.07;10.02.2020
107;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Мордовцева,6;16803.06;06.03.2020
108;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Мордовцева,6;16141.8;09.04.2020
109;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Мордовцева,6;15957.47;14.05.2020
110;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Мордовцева,6;12240.29;08.06.2020
111;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Мордовцева,6;14191.72;10.07.2020
112;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Мордовцева,6;10526.29;10.08.2020
113;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Мордовцева,6;12744.1;09.09.2020
114;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Мордовцева,6;12781.64;05.10.2020
115;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Мордовцева,6;12450.06;09.11.2020
116;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Мордовцева,6;16909.76;11.12.2020
118;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,69;42173.33;27.01.2020
119;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,69;31780.64;27.02.2020
120;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,69;42004.23;10.04.2020
121;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,69;26656.68;22.04.2020
122;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,69;24111.4;27.05.2020
123;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,69;20816.83;29.06.2020
124;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,69;25249.57;30.07.2020
125;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,69;31277.49;20.08.2020
126;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,69;37093.41;30.09.2020
127;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,69;35214.4;27.10.2020
128;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,69;15008.04;04.12.2020
129;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,69;35751.37;30.12.2020
131;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71;178505.53;21.01.2020
132;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71;172654.2;19.02.2020
133;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71;178215.49;18.03.2020
134;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71;144389.25;22.04.2020
135;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71;135026.93;20.05.2020
136;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71;122398.34;17.06.2020
137;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71;143966;21.07.2020
138;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71;182687.23;18.08.2020
139;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71;165941.76;18.09.2020
140;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71;150213.98;21.10.2020
141;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71;196970.63;19.11.2020
142;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71;10099.61;21.12.2020
144;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71 Пристройка;81364.64;21.01.2020
145;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71 Пристройка;-299.5;30.01.2020
146;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71 Пристройка;51286.06;19.02.2020
147;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71 Пристройка;50368.8;18.03.2020
148;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71 Пристройка;31763.09;22.04.2020
149;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71 Пристройка;17462.68;20.05.2020
150;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71 Пристройка;6649.26;17.06.2020
151;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71 Пристройка;35888.98;21.07.2020
152;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71 Пристройка;61562.67;18.08.2020
153;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71 Пристройка;105100.4;18.09.2020
154;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71 Пристройка;65664.25;21.10.2020
155;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71 Пристройка;12700.57;19.11.2020
156;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,71 Пристройка;11050.61;21.12.2020
158;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73;28391.04;21.01.2020
159;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73;6313.65;19.02.2020
160;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73;20340.58;18.03.2020
161;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73;11446.26;22.04.2020
162;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73;9773.53;20.05.2020
163;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73;9263.14;17.06.2020
164;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73;10823.31;21.07.2020
165;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73;10240.71;18.08.2020
166;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73;31990.04;18.09.2020
167;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73;16405.34;21.10.2020
168;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73;18392.87;19.11.2020
169;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73;17777.34;21.12.2020
171;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73А;6883.6;21.01.2020
172;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73А;7536.95;19.02.2020
173;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73А;29343.78;18.03.2020
174;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73А;22973.37;22.04.2020
175;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73А;19871.33;20.05.2020
176;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73А;11888.77;17.06.2020
177;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73А;30101.93;21.07.2020
178;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73А;9087.62;18.08.2020
179;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73А;27005.4;18.09.2020
180;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73А;8407.82;21.10.2020
181;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73А;11782.45;19.11.2020
182;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Светланская,73А;11767.03;21.12.2020
184;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. Океанский пр-т, 34;352857.47;21.01.2020
185;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. Океанский пр-т, 34;329098.15;19.02.2020
186;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. Океанский пр-т, 34;348439.84;18.03.2020
187;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. Океанский пр-т, 34;334632.85;22.04.2020
188;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. Океанский пр-т, 34;289494.81;20.05.2020
189;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. Океанский пр-т, 34;293577.73;17.06.2020
190;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. Океанский пр-т, 34;240249.43;21.07.2020
191;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. Океанский пр-т, 34;391970.38;18.08.2020
192;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. Океанский пр-т, 34;445679.09;18.09.2020
193;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. Океанский пр-т, 34;-134.26;05.10.2020
194;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. Океанский пр-т, 34;330807.54;21.10.2020
195;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. Океанский пр-т, 34;328231.66;19.11.2020
196;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. Океанский пр-т, 34;348604.69;21.12.2020
198;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Пушкинская, 8Б;163.46;21.01.2020
199;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Пушкинская, 8Б;140.78;19.02.2020
200;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Пушкинская, 8Б;141.98;18.03.2020
201;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Пушкинская, 8Б;140.27;22.04.2020
202;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Пушкинская, 8Б;134.5;20.05.2020
203;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Пушкинская, 8Б;136.34;17.06.2020
204;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Пушкинская, 8Б;121.98;21.07.2020
205;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Пушкинская, 8Б;147.35;18.08.2020
206;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Пушкинская, 8Б;133.6;18.09.2020
207;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Пушкинская, 8Б;13.18;21.10.2020
208;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Пушкинская, 8Б;13.18;19.11.2020
209;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. ул.Пушкинская, 8Б;278.99;21.12.2020
211;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Уссурийск, ул.Некрасова, 102;196939.62;23.01.2020
212;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Уссурийск, ул.Некрасова, 102;178245.85;26.02.2020
213;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Уссурийск, ул.Некрасова, 102;155077.32;19.03.2020
214;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Уссурийск, ул.Некрасова, 102;141485.94;20.04.2020
215;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Уссурийск, ул.Некрасова, 102;145988.86;22.05.2020
216;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Уссурийск, ул.Некрасова, 102;117749.23;25.06.2020
217;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Уссурийск, ул.Некрасова, 102;137347.86;21.07.2020
218;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Уссурийск, ул.Некрасова, 102;144934.68;27.08.2020
219;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Уссурийск, ул.Некрасова, 102;144018.3;17.09.2020
220;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Уссурийск, ул.Некрасова, 102;127812.79;20.10.2020
221;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Уссурийск, ул.Некрасова, 102;134868.17;19.11.2020
222;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Уссурийск, ул.Некрасова, 102;158683.27;18.12.2020
224;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. с.Вольно-Надеждинское, ул.Пушкина,59;14947.02;21.01.2020
225;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. с.Вольно-Надеждинское, ул.Пушкина,59;14127.46;20.02.2020
226;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. с.Вольно-Надеждинское, ул.Пушкина,59;13606.31;17.03.2020
227;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. с.Вольно-Надеждинское, ул.Пушкина,59;15313.4;20.04.2020
228;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. с.Вольно-Надеждинское, ул.Пушкина,59;10869.68;22.05.2020
229;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. с.Вольно-Надеждинское, ул.Пушкина,59;14978.94;23.06.2020
230;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. с.Вольно-Надеждинское, ул.Пушкина,59;18205.31;20.07.2020
231;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. с.Вольно-Надеждинское, ул.Пушкина,59;14225.57;25.08.2020
232;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. с.Вольно-Надеждинское, ул.Пушкина,59;17461.21;18.09.2020
233;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. с.Вольно-Надеждинское, ул.Пушкина,59;13697.05;20.10.2020
234;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. с.Вольно-Надеждинское, ул.Пушкина,59;12762.43;19.11.2020
235;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. с.Вольно-Надеждинское, ул.Пушкина,59;5736.28;21.12.2020
237;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Дальнереченск, ул.Ленина, 64;124.31;28.10.2020
238;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Дальнереченск, ул.Ленина, 64;1065.01;24.11.2020
239;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Дальнереченск, ул.Ленина, 64;642.98;15.12.2020
240;Расходы по оплате потребления электроэнергии;Оплата за электроэнергию по тарифам зд. г.Дальнереченск, ул.Ленина, 64;1033.42;23.12.2020
244;Расходы по оплате всех видов отопления зданий и сооружений (кроме электро- и газового снабжения);Оплата за тепловую энергию по тарифам зд. г.Находка, Находкинский пр-т,13;113833.48;16.01.2020
245;Расходы по оплате всех видов отопления зданий и сооружений (кроме электро- и газового снабжения);Оплата за тепловую энергию по тарифам зд. г.Находка, Находкинский пр-т,13;110623.31;11.02.2020
